T_amb,30,35,40,45,50,55
-20,9.56,9.66,9.59,7.69,,
-15,10.57,10.56,9.86,9.55,8.79,
-7,12.59,12.3,12.02,11.35,10.26,9.18
-2,12.11,11.79,11.48,11.39,10.44,9.32
2,11.74,11.4,11.07,11.37,11.04,10.29
7,16.63,16.1,15.47,15.22,14.51,13.92
12,17.34,16.74,16.13,15.76,15.13,14.51
15,18.81,18.16,17.51,17.1,16.43,15.75
20,21.49,20.77,20.04,19.59,18.83,18.07
