T_amb,30,35,40,45,50,55
-20,5.67,6.07,6.40,6.38,0.00,0.00
-15,5.84,6.28,6.30,6.34,6.38,0.00
-7,5.07,5.49,5.95,6.34,6.37,6.37
-2,4.32,4.71,5.15,5.63,5.86,5.86
2,3.75,4.09,4.48,4.84,5.51,5.88
7,3.55,3.83,4.26,4.71,5.17,5.71
12,3.45,3.78,4.15,4.58,5.05,5.58
15,3.45,3.78,4.16,4.58,5.06,5.59
20,3.43,3.77,4.15,4.59,5.07,5.61
